step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
492,PAYMENT,29609.41,C1706979999,148474.0,118864.59,M941522894,0.0,0.0,0,0
235,PAYMENT,8955.26,C285074873,121622.0,112666.74,M750034049,0.0,0.0,0,0
401,CASH_IN,314852.88,C710822791,34245.0,349097.88,C1226923698,0.0,0.0,0,0
140,TRANSFER,1405483.76,C325106229,448.0,0.0,C1414915255,0.0,1405483.76,0,0
305,CASH_IN,101137.19,C1035519181,27510601.77,27611738.96,C1460364262,614194.12,513056.93,0,0
345,TRANSFER,1276033.42,C925005877,0.0,0.0,C421898527,1327293.52,2603326.93,0,0
284,CASH_IN,1064.2,C1843698388,2126787.01,2127851.21,C1917370316,158960.11,157895.91,0,0
188,CASH_IN,93372.08,C1369732723,22458.0,115830.08,C226691422,0.0,0.0,0,0
234,CASH_IN,119524.52,C2093597614,4086453.74,4205978.26,C1794058350,2277185.55,2157661.02,0,0
184,CASH_OUT,82204.45,C1852189411,0.0,0.0,C88495967,332625.4,414829.85,0,0
205,PAYMENT,6758.99,C1260157640,0.0,0.0,M376158691,0.0,0.0,0,0
12,CASH_OUT,476088.58,C348724705,452803.0,0.0,C597170873,21314.0,950034.29,0,0
235,PAYMENT,27717.19,C437081504,0.0,0.0,M193223004,0.0,0.0,0,0
252,CASH_IN,97423.93,C1118488668,1511386.68,1608810.61,C249567389,4942694.11,4845270.18,0,0
229,PAYMENT,10732.77,C39930496,2005.74,0.0,M945400934,0.0,0.0,0,0
231,PAYMENT,27784.48,C1961158607,2872.25,0.0,M21359298,0.0,0.0,0,0
13,CASH_OUT,1161495.82,C165094398,1161495.82,0.0,C1966002811,319036.02,1565123.81,1,0
155,CASH_OUT,682309.83,C1810820401,682309.83,0.0,C475334317,75517.04,757826.87,1,0
326,CASH_IN,160582.7,C500494893,991444.76,1152027.47,C1531158406,1049811.51,889228.81,0,0
8,CASH_OUT,112147.69,C1110578837,0.0,0.0,C915240663,526213.75,278594.28,0,0
236,PAYMENT,14559.37,C1292748695,1368.0,0.0,M1204581871,0.0,0.0,0,0
222,TRANSFER,1338487.47,C146036421,1338487.47,0.0,C423402109,0.0,0.0,1,0
181,CASH_IN,131530.8,C865597233,4454684.58,4586215.37,C4310991,1287567.3,1156036.51,0,0
573,PAYMENT,27801.98,C1555165063,0.0,0.0,M238282720,0.0,0.0,0,0
14,CASH_IN,236791.19,C1165623892,10028.0,246819.19,C2017088621,2569439.89,2542672.62,0,0
183,PAYMENT,3074.49,C1100994936,0.0,0.0,M1870435168,0.0,0.0,0,0
207,CASH_OUT,89312.67,C453511165,0.0,0.0,C600719801,199189.72,288502.4,0,0
399,CASH_OUT,155192.54,C1193549183,20606.0,0.0,C694493682,3648639.64,3803832.17,0,0
378,CASH_OUT,570644.77,C1520051375,65974.0,0.0,C1902048556,328934.9,899579.67,0,0
237,PAYMENT,10821.35,C376992442,5207.48,0.0,M1920374607,0.0,0.0,0,0
328,CASH_IN,380464.14,C801651488,6238.0,386702.14,C1006005732,923896.77,543432.62,0,0
138,CASH_IN,147988.23,C1451970414,930.0,148918.23,C1934089744,1412848.18,1442928.97,0,0
40,CASH_OUT,204953.31,C1613778096,191663.0,0.0,C1039465716,44429.16,205905.88,0,0
34,PAYMENT,7311.93,C2125554255,0.0,0.0,M1996610700,0.0,0.0,0,0
354,CASH_IN,144684.78,C1822462381,49550.0,194234.78,C1532711271,272235.87,127551.08,0,0
135,CASH_OUT,277014.26,C1547803077,15958.0,0.0,C1001382840,645665.32,922679.58,0,0
332,PAYMENT,34773.28,C287910219,0.0,0.0,M1857227860,0.0,0.0,0,0
156,CASH_IN,292739.62,C2035847722,80226.0,372965.62,C1242028553,0.0,0.0,0,0
423,PAYMENT,1558.61,C1548367890,131968.0,130409.39,M1191079431,0.0,0.0,0,0
